reference_riot_id,source_player_name,source_tag,matches_analyzed,current_rank_mode,match_rank_mode,avg_team_rank_mode,avg_team_rank_mean_value,avg_team_rank_nearest,avg_team_rank_group,wins,losses,draws,winrate,total_kills,total_deaths,total_assists,total_rounds,recent_kd,recent_kda,recent_acs,recent_tracker_score,recent_adr,recent_dda,recent_hs,recent_kast,recent_first_kills,recent_first_deaths,recent_entry_success,recent_entry_activity,recent_multi_kill_rate,acs_std,trs_std,main_agent,main_map
C4lo#1234,C4lo,1234,20,Ascendant 2,Ascendant 2,Diamond 3,17.85,Diamond 3,Diamond,12,8,0,60.0,244,295,147,400,0.827,1.325,183.2,504.3,119.02,-10.77,22.6,68.35,31,36,46.27,16.75,48.75,59.75,264.34,Raze,Split
Twitch Krizzgo#twtch,Twitch Krizzgo,twtch,20,Ascendant 3,Ascendant 3,Diamond 3,17.9,Diamond 3,Diamond,13,7,0,65.0,381,238,57,385,1.601,1.84,268.55,757.55,179.49,62.75,30.95,79.15,58,34,63.04,23.9,10.65,62.31,214.21,Chamber,Fracture
tuki#tft,tuki,tft,20,Ascendant 2,Ascendant 2,Ascendant 1,17.9,Diamond 3,Diamond,10,10,0,50.0,288,316,111,421,0.911,1.263,200.15,501.2,133.78,1.36,30.3,65.6,53,49,51.96,24.23,136.58,65.98,251.41,Cypher,Haven
twitch luistygod#2412,twitch luistygod,2412,20,Immortal 3,Immortal 3,Ascendant 2,18.3,Diamond 3,Diamond,14,6,0,70.0,450,343,97,440,1.312,1.595,295.95,747.25,180.34,49.44,36.75,71.6,104,74,58.43,40.45,138.18,68.4,172.53,Jett,Pearl
Drip#00000,Drip,00000,20,Immortal 2,Immortal 2,Ascendant 1,18.5,Diamond 3,Diamond,14,6,0,70.0,366,290,86,399,1.262,1.559,252.75,677.05,166.55,28.15,31.6,71.35,63,38,62.38,25.31,8.27,54.68,217.79,Jett,Breeze
EL103#103,EL103,103,20,Immortal 3,Immortal 3,Ascendant 1,18.65,Ascendant 1,Ascendant,16,4,0,80.0,411,274,103,442,1.5,1.876,264.25,761.3,177.03,55.45,19.95,77.2,73,50,59.35,27.83,8.6,68.19,196.02,Chamber,Breeze
Reynoru#Hwk,Reynoru,Hwk,20,Ascendant 2,Ascendant 2,Ascendant 1,19.1,Ascendant 1,Ascendant,10,10,0,50.0,277,289,104,399,0.958,1.318,205.5,478.4,141.13,5.1,26.2,65.05,46,47,49.46,23.31,6.02,82.51,292.04,Chamber,Pearl
Valentino7880#3521,Valentino7880,3521,20,Ascendant 2,Ascendant 2,Ascendant 2,19.25,Ascendant 1,Ascendant,8,12,0,40.0,363,318,78,455,1.142,1.387,221.5,572.9,143.19,16.46,37.95,66.85,43,46,48.31,19.56,177.36,55.74,200.2,Chamber,Breeze
ibuprofen0#mshll,ibuprofen0,mshll,20,Ascendant 3,Ascendant 3,Ascendant 2,19.3,Ascendant 1,Ascendant,10,10,0,50.0,381,345,108,437,1.104,1.417,249.85,623.5,153.74,10.12,29.75,69.6,56,44,56.0,22.88,181.24,52.92,159.36,Chamber,Haven
twitch izitukei#teffv,twitch izitukei,teffv,20,Radiant,Radiant,Ascendant 1,19.4,Ascendant 1,Ascendant,16,3,1,80.0,407,263,128,402,1.548,2.034,269.6,780.3,174.2,60.15,33.4,75.75,51,32,61.45,20.65,96.27,77.33,190.26,Clove,Pearl
